tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt7126948,Wonder Woman 1984,Wonder Woman 1984,0,2020,151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,237845.0,200000000,165160005,True,True
tt7128732,Tremors,Temblores,0,2019,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,1205.0,11000000,48572000,False,False
tt7130472,Stronger,Stronger,0,2016,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.3,15.0,30000000,8484418,False,False
tt7131622,Once Upon a Time... In Hollywood,Once Upon a Time... in Hollywood,0,2019,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,650901.0,95000000,374251247,True,True
tt7131870,Wolf Warrior 2,Zhan lang II,0,2017,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,7581.0,29700000,870322670,False,False
tt7132906,Cowboys,Cowboys,0,2019,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,19.0,163000000,174822325,False,False
tt7136962,Candy,Candy,0,2017,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,132.0,950000,7022209,False,False
tt7137846,Breaking In,Breaking In,0,2018,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,15376.0,6000000,49078000,True,True
tt7146812,Onward,Onward,0,2020,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,128705.0,200000000,141592359,True,False
tt7150058,The Maze,The Maze,0,2017,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,12.0,34000000,348319861,False,False
tt7153564,Trapped,Hammam Sokhn,0,2021,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,5.0,30000000,13414416,False,False
tt7153766,Unsane,Unsane,0,2018,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,44254.0,1500000,14293601,True,True
tt7155152,The Patriot,The Patriot,0,2017,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,6.0,110000000,215294342,False,False
tt7156814,The Innocence,The Innocence,0,2019,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,28.0,34000000,32255440,False,False
tt7158430,Hearts Beat Loud,Hearts Beat Loud,0,2018,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.9,10621.0,2000000,2115765,True,False
tt7159382,Fidaa,Fidaa,0,2017,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,4226.0,2100000,7000000,False,False
tt7160070,Along With the Gods: The Two Worlds,Sin-gwa ham-kke: Jwi-wa beol,0,2017,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.3,13873.0,18300000,125983972,True,False
tt7167630,Batman: Gotham by Gaslight,Batman: Gotham by Gaslight,0,2018,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,15383.0,1000000,3469151,True,False
tt7168262,Stakeout,Sargasso,0,2019,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,125.0,30000000,30000000,True,False
tt7170950,Like Father,Like Father,0,2018,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,20670.0,32000000,83615414,True,False
tt7174366,The Heretic,The Heretic,0,2018,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,73.0,14000000,30749142,False,False
tt7178226,The Cave,The Cave,0,2019,107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.5,2652.0,30000000,15007991,False,False
tt7186036,Volcano,Vulkan,0,2018,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,558.0,90000000,122823468,False,False
